camera,segment,kind,frame,eye_px,nme,max_px
lfw,all,rgb,rgb/Adrian_Nastase_0001.ppm,59.4,8.071e-7,0.0002
lfw,all,rgb,rgb/Adrian_Nastase_0002.ppm,55.4,8.087e-7,0.0002
lfw,all,rgb,rgb/Adriana_Lima_0001.ppm,71.4,5.960e-7,0.0001
lfw,all,rgb,rgb/Adriana_Perez_Navarro_0001.ppm,62.2,7.517e-7,0.0002
lfw,all,rgb,rgb/Adrianna_Zuzic_0001.ppm,66.9,7.722e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0001.ppm,57.7,7.286e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0002.ppm,56.8,6.833e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0003.ppm,55.7,7.419e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0004.ppm,63.9,7.704e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0005.ppm,58.3,7.274e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0006.ppm,58.8,7.028e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0007.ppm,59.0,7.738e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0008.ppm,54.3,7.863e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0009.ppm,67.5,7.127e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0010.ppm,60.7,6.790e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0011.ppm,56.8,7.141e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0012.ppm,49.2,7.815e-7,0.0001
lfw,all,rgb,rgb/Afton_Smith_0001.ppm,60.9,7.367e-7,0.0002
lfw,all,rgb,rgb/Agbani_Darego_0001.ppm,62.4,6.071e-7,0.0001
lfw,all,rgb,rgb/Agnelo_Queiroz_0001.ppm,52.4,7.326e-7,0.0002
lfw,all,rgb,rgb/Agnes_Bruckner_0001.ppm,58.1,6.821e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Jbarah_0001.ppm,55.5,7.627e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Masood_0001.ppm,60.4,6.706e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Masood_0002.ppm,39.6,9.486e-7,0.0002
lfw,all,rgb,rgb/Ahmed_Ahmed_0001.ppm,61.5,8.098e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0001.ppm,58.2,7.448e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0002.ppm,52.9,8.372e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0003.ppm,57.2,7.524e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0004.ppm,58.3,7.090e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0005.ppm,56.6,7.651e-7,0.0002
lfw,all,rgb,rgb/Ahmed_Ghazi_0001.ppm,55.6,7.823e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Ibrahim_Bilal_0001.ppm,62.6,6.803e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Lopez_0001.ppm,55.4,6.893e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Qureia_0001.ppm,55.9,7.341e-7,0.0002
lfw,all,rgb,rgb/Ahmet_Demir_0001.ppm,53.8,8.317e-7,0.0001
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0001.ppm,54.2,7.484e-7,0.0001
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0002.ppm,56.8,7.718e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0001.ppm,57.9,7.169e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0002.ppm,56.5,7.246e-7,0.0002
lfw,all,rgb,rgb/Ai_Sugiyama_0003.ppm,58.2,6.689e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0004.ppm,64.1,5.943e-7,0.0002
lfw,all,rgb,rgb/Ai_Sugiyama_0005.ppm,60.8,7.314e-7,0.0001
lfw,all,rgb,rgb/Aicha_El_Ouafi_0001.ppm,57.6,7.242e-7,0.0002
lfw,all,rgb,rgb/Aicha_El_Ouafi_0002.ppm,59.2,6.440e-7,0.0001
lfw,all,rgb,rgb/Aicha_El_Ouafi_0003.ppm,62.1,6.799e-7,0.0001
lfw,all,rgb,rgb/Aidan_Quinn_0001.ppm,61.5,7.570e-7,0.0002
lfw,all,rgb,rgb/Aileen_Riggin_Soule_0001.ppm,65.1,7.599e-7,0.0002
lfw,all,rgb,rgb/Ain_Seppik_0001.ppm,59.9,7.352e-7,0.0001
lfw,all,rgb,rgb/Ainsworth_Dyer_0001.ppm,65.5,7.023e-7,0.0002
lfw,all,rgb,rgb/Aishwarya_Rai_0001.ppm,64.2,7.183e-7,0.0002
lfw,all,rgb,rgb/Aitor_Gonzalez_0001.ppm,66.8,5.975e-7,0.0002
lfw,all,rgb,rgb/Aitor_Gonzalez_0002.ppm,59.9,6.566e-7,0.0002
lfw,all,rgb,rgb/Aiysha_Smith_0001.ppm,53.5,8.971e-7,0.0001
lfw,all,rgb,rgb/Ajit_Agarkar_0001.ppm,56.9,7.283e-7,0.0001
lfw,all,rgb,rgb/Akbar_Al_Baker_0001.ppm,59.1,7.988e-7,0.0002
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0001.ppm,59.0,7.507e-7,0.0002
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0002.ppm,53.2,8.535e-7,0.0001
lfw,all,rgb,rgb/Akbar_Hashemi_Rafsanjani_0003.ppm,52.7,8.344e-7,0.0001
lfw,all,rgb,rgb/Akhmed_Zakayev_0001.ppm,56.2,7.636e-7,0.0002
lfw,all,rgb,rgb/Akhmed_Zakayev_0002.ppm,52.3,7.570e-7,0.0002
lfw,all,rgb,rgb/Akhmed_Zakayev_0003.ppm,57.8,7.223e-7,0.0001
lfw,all,rgb,rgb/Akiko_Morigami_0001.ppm,39.6,6.731e-7,0.0001
lfw,all,rgb,rgb/Akmal_Taher_0001.ppm,58.8,7.036e-7,0.0001
lfw,all,rgb,rgb/Al_Cardenas_0001.ppm,61.1,6.773e-7,0.0001
lfw,all,rgb,rgb/Al_Davis_0001.ppm,64.8,7.620e-7,0.0001
lfw,all,rgb,rgb/Al_Davis_0002.ppm,57.0,7.785e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0001.ppm,52.5,7.259e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0002.ppm,54.3,7.420e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0003.ppm,54.0,7.771e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0004.ppm,56.0,7.405e-7,0.0001
lfw,all,rgb,rgb/Al_Gore_0005.ppm,57.3,7.579e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0006.ppm,54.0,7.170e-7,0.0001
lfw,all,rgb,rgb/Al_Gore_0007.ppm,59.0,7.929e-7,0.0002
lfw,all,rgb,rgb/Al_Gore_0008.ppm,55.4,7.026e-7,0.0001
lfw,all,rgb,rgb/Al_Leiter_0001.ppm,58.7,7.018e-7,0.0002
lfw,all,rgb,rgb/Al_Pacino_0001.ppm,54.3,7.487e-7,0.0002
lfw,all,rgb,rgb/Al_Pacino_0002.ppm,52.2,7.724e-7,0.0002
lfw,all,rgb,rgb/Al_Pacino_0003.ppm,59.0,7.313e-7,0.0001
lfw,all,rgb,rgb/Al_Sharpton_0001.ppm,69.6,6.337e-7,0.0002
lfw,all,rgb,rgb/Al_Sharpton_0002.ppm,54.8,7.321e-7,0.0002
lfw,all,rgb,rgb/Al_Sharpton_0003.ppm,56.6,6.713e-7,0.0001
lfw,all,rgb,rgb/Al_Sharpton_0004.ppm,61.1,8.417e-7,0.0002
lfw,all,rgb,rgb/Al_Sharpton_0005.ppm,53.9,8.245e-7,0.0002
lfw,all,rgb,rgb/Al_Sharpton_0006.ppm,53.0,7.467e-7,0.0001
lfw,all,rgb,rgb/Al_Sharpton_0007.ppm,55.2,7.356e-7,0.0001
lfw,all,rgb,rgb/Alain_Cervantes_0001.ppm,54.6,8.283e-7,0.0002
lfw,all,rgb,rgb/Alain_Ducasse_0001.ppm,53.6,7.122e-7,0.0001
